Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory Type,Memory Capacity,GPU_Company,GPU_Type,OpSys,Weight (kg),Price (SAR)
Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3060,1.6,2,Flash,32,Intel,HD Graphics 400,Windows 10,1.42,988.5300000000001
Lenovo,Thinkpad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.37,6976.9574
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8,16,SSD,1024,Nvidia,GeForce GTX 1050,Windows 10,2.06,9524.03
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050M,Windows 10,2.5,4402.7300000000005
HP,17-AK091ND (A9-9420/8GB/1TB/W10),Notebook,17.0,1600x900,AMD,A9-Series 9420,3.0,8,HDD,1024,AMD,Radeon R5,Windows 10,2.6,2067.973
Lenovo,ThinkPad X1,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,16,SSD,512,Intel,HD Graphics 620,Windows 10,1.14,9726.5
Asus,ROG GL553VE-FY022,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,HDD,1024,Nvidia,GeForce GTX 1050 Ti,No OS,2.5,4640.93
Acer,Extensa EX2540,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,HDD,500,Intel,HD Graphics 520,Windows 10,2.4,1786.5
Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3060,1.6,4,Flash,32,Intel,HD Graphics,Windows 10,1.43,1087.78
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,Graphics 620,Windows 10,1.8,3648.4300000000003
Razer,Blade Pro,Gaming,14.0,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD,256,Nvidia,GeForce GTX 1060,Windows 10,1.95,10318.03
Toshiba,Portege Z30-C-16J,Notebook,13.3,Full HD 1920x1080,Intel,Core i5 6200U,2.3,8,SSD,256,Intel,HD Graphics 520,Windows 10,1.2,4815.610000000001
Lenovo,Thinkpad X270,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.36,6288.4800000000005
Asus,ROG G701VI,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HK,2.7,32,SSD,512,Nvidia,GeForce GTX 1080,Windows 10,3.8,11112.03
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,HDD,1024,Nvidia,GeForce GTX 1050,Linux,2.4,2814.73
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.2,5756.103000000001
MSI,GL62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.2,4731.446
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,HDD,500,Intel,HD Graphics 520,No OS,1.86,1448.653
Toshiba,Tecra A50-D-11M,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,HDD,500,Intel,HD Graphics 620,Windows 10,2.0,4224.08
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,256,AMD,Radeon 530,Windows 10,2.2,3648.4300000000003
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,SSD+HDD,2304,AMD,Radeon 530,Windows 10,2.2,4505.95
Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6700HQ,2.6,8,SSD+HDD,1152,Nvidia,GeForce GTX 960,Windows 10,3.31,4748.12
Dell,Alienware 17,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7700HQ,2.8,32,SSD+HDD,1536,Nvidia,GeForce GTX 1070,Windows 10,4.42,12495.0589
Dell,Latitude E7470,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 6300U,2.4,8,SSD,256,Intel,HD Graphics 520,Windows 10,1.56,4879.13
Lenovo,Ideapad 320-15IAP,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,HDD,500,Intel,HD Graphics 500,Windows 10,2.2,1663.43
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 6200U,2.3,4,HDD,500,Intel,HD Graphics 520,Windows 10,2.2,2123.9500000000003
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,6,HDD,1024,AMD,Radeon R5 M430,Windows 10,2.04,2139.83
MSI,GP72VR Leopard,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1060,Windows 10,2.7,5902.476900000001
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel,Core i3 6100U,2.1,4,SSD,128,Intel,HD Graphics 520,Windows 10,2.1,1977.0600000000002
Dell,Latitude 3580,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,HDD,1024,Intel,HD Graphics 620,Windows 10,2.06,3791.3500000000004
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,HDD,1024,AMD,Radeon 530,Windows 10,2.1,2957.65
Toshiba,Tecra Z50-D-10E,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,2.0,4994.26
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,SSD,128,Intel,HD Graphics 520,Linux,2.1,1635.64
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i7 7600U,2.8,8,SSD,256,Intel,Iris Plus Graphics 640,Windows 10 S,1.252,7415.3645
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD+HDD,1152,AMD,Radeon R5 M430,Windows 10,1.9,3247.2615000000005
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.3,4104.9800000000005
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD,E-Series E2-9000,2.2,4,SSD,128,AMD,Radeon R2 Graphics,Windows 10,2.2,1385.53
HP,Pavilion X360,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i3 7100U,2.4,4,SSD,128,Nvidia,GeForce 940MX,Windows 10,1.63,2775.03
MSI,GP62 7RDX,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1050,Windows 10,2.4,5137.18
Asus,Zenbook 3,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.1,4505.95
HP,Chromebook X360,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel,Celeron Dual Core N3350,1.1,8,Flash,64,Intel,HD Graphics 500,Chrome OS,1.4,1965.15
LG,Gram 15Z975,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,512,Intel,HD Graphics 620,Windows 10,1.09,9127.03
Acer,Aspire VX5-591G,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,16,SSD,256,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.5,5157.030000000001
MSI,GV62M 7RD,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,SSD,256,Nvidia,GeForce GTX 1050,Windows 10,2.2,3961.663
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1,4,SSD,128,Intel,HD Graphics 500,Windows 10,1.86,1663.43
Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,16,SSD+HDD,1152,Nvidia,GeForce GTX 1060,Windows 10,3.21,8142.47
HP,17-bs000nv I3,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i3 6006U,2.0,4,SSD,256,AMD,Radeon R5 520,Windows 10,2.5,2775.03
Lenovo,Yoga 730,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8,8,SSD,512,Intel,UHD Graphics 620,Windows 10,1.19,5951.030000000001
Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7820HK,2.9,16,SSD+HDD,1280,Nvidia,GeForce GTX 1070,Windows 10,3.49,11170.587500000001
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,HDD,500,AMD,Radeon 520,Windows 10,1.86,2432.0617
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,HDD,1024,AMD,Radeon R5 M430,Windows 10,2.2,2166.3098999999997
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD,A10-Series 9600P,2.4,6,HDD,2048,AMD,Radeon R7 M440,Windows 10,2.65,2258.9300000000003
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,1366x768,Intel,Celeron Dual Core 3855U,1.6,4,HDD,500,Intel,HD Graphics 510,Windows 10,2.1,1262.46
Acer,Chromebook 14,Notebook,14.0,1366x768,Intel,Celeron Dual Core 3855U,1.6,4,Flash,32,Intel,HD Graphics 510,Chrome OS,1.45,1488.75
Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,SSD,256,Intel,HD Graphics 620,Windows 10,1.7,2775.03
HP,ZBook 17,Workstation,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,HDD,500,Nvidia,Quadro M1200,Windows 10,3.14,7574.720300000001
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.42,10282.300000000001
Toshiba,Satellite Pro,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.5,3862.8100000000004
Acer,TravelMate B117-M,Netbook,11.6,1366x768,Intel,Celeron Dual Core N3050,1.6,4,Flash,32,Intel,HD Graphics,Windows 10,1.4,1067.93
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14.0,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,16,SSD,512,Intel,HD Graphics 620,Windows 10,1.38,6943.530000000001
Asus,Chromebook Flip,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel,Core M M3-6Y30,0.9,4,Flash,64,Intel,HD Graphics 515,Chrome OS,1.2,2655.9300000000003
Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 6500U,2.5,16,SSD,512,Intel,HD Graphics 520,Windows 10,1.36,7451.6900000000005
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7,4,HDD,500,AMD,Radeon 530,Windows 10,2.1,2735.33
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,HDD,1024,Nvidia,GeForce GTX 1050,Windows 10,2.56,3251.4300000000003
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,2.9,4,SSD,256,AMD,Radeon 530,Windows 10,2.2,1584.03
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1366x768,AMD,A12-Series 9720P,3.6,8,HDD,1024,AMD,Radeon R7,Windows 10,2.2,1703.13
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,HDD+HDD,2048,Intel,HD Graphics 620,Windows 10,2.1,2467.1565000000005
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,HDD,500,Intel,HD Graphics 520,No OS,1.9,1786.5
Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,2.18,3156.15
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,SSD,256,Intel,UHD Graphics 620,Windows 10,1.6,3966.03
Lenovo,ThinkPad P51s,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 6500U,2.5,16,SSD,512,Nvidia,Quadro M520M,Windows 7,2.18,7364.35
Lenovo,Thinkpad T460p,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 6300HQ,2.3,8,SSD,256,Intel,HD Graphics 520,Windows 10,1.8,4728.27
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,AMD,A10-Series 9620P,2.5,6,HDD,2048,AMD,Radeon 530,Windows 10,2.71,2600.3897
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.5,4958.530000000001
Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7440HQ,2.8,8,SSD,256,Nvidia,GeForce 930MX,Linux,1.64,4323.33
Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,HDD,1024,Intel,HD Graphics 620,Linux,1.98,2882.2200000000003
Asus,VivoBook E403NA,Notebook,14.0,Full HD 1920x1080,Intel,Celeron Dual Core N3350,1.1,4,Flash,32,Intel,HD Graphics 500,Windows 10,1.5,1183.06
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7300U,2.6,16,SSD,512,Intel,HD Graphics 620,Windows 10,1.93,5663.840200000001
Lenovo,Thinkpad E470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Nvidia,GeForce 920MX,Windows 10,1.87,3402.5679000000005
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7300U,2.6,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.9,4680.63
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,1366x768,AMD,A6-Series 7310,2.0,4,HDD,500,AMD,Radeon R4,Windows 10,2.19,1183.06
Mediacom,Smartbook 142,Notebook,14.0,IPS Panel Full HD 1920x1200,Intel,Atom Z8350,1.92,4,HDD,32,Intel,HD Graphics 400,Windows 10,1.4,1052.05
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Nvidia,GeForce 930MX,Windows 10,2.63,4764.0
Lenovo,ThinkPad X1,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,Intel,Core i7 6500U,2.5,8,SSD,512,Intel,HD Graphics 520,Windows 10,1.17,6695.960800000001
HP,Pavilion X360,2 in 1 Convertible,13.3,IPS Panel Touchscreen 1366x768,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.58,3321.302
Lenovo,ThinkPad T470s,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.32,5951.030000000001
Dell,Alienware 17,Gaming,17.3,4K Ultra HD 3840x2160,Intel,Core i7 7700HQ,2.8,32,SSD+HDD,2048,Nvidia,GeForce GTX 1070,Windows 10,4.36,14527.818000000001
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.7,5353.4656
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,HDD,1024,Intel,HD Graphics 620,No OS,1.9,1944.903
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,SSD+HDD,1152,AMD,Radeon 530,Windows 10,2.2,2854.4300000000003
Dell,Inspiron 5378,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i3 7100U,2.4,4,HDD,1024,Intel,HD Graphics 620,Windows 10,1.71,2576.53
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,8,HDD,1024,AMD,Radeon R7 M445,Linux,2.32,2340.3944
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD,A9-Series 9420,3.0,4,HDD,1024,AMD,Radeon 520,Windows 10,2.1,1941.3300000000002
Acer,Predator 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 6700HQ,2.6,16,SSD+HDD,1152,Nvidia,GeForce GTX 1060,Windows 10,4.2,7681.950000000001
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,12,HDD,1024,Intel,HD Graphics 620,Windows 10,2.25,2576.53
HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,Full HD 1920x1080,AMD,A9-Series A9-9420,3.0,6,SSD+HDD,1152,AMD,Radeon 520,Windows 10,2.1,2580.5
Acer,Extensa EX2540-58KR,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,HDD,500,Intel,HD Graphics 620,Windows 10,2.4,2219.23
Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.44,3811.2000000000003
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,4,HDD,1024,Intel,HD Graphics 620,Windows 10,1.85,3092.63
HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD,256,Nvidia,Quadro M2200,Windows 10,2.6,9603.43
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,HDD,1024,Intel,UHD Graphics 620,Windows 10,1.55,2616.23
MSI,GS63VR 7RF,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1060,Windows 10,1.8,8315.0856
Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,4,HDD,500,Intel,HD Graphics 520,Windows 10,2.4,1630.8760000000002
Dell,Inspiron 7560,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,SSD+HDD,1152,Nvidia,GeForce 940MX,Windows 10,2.0,4791.79
Dell,Vostro 3568,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,8,SSD,256,Intel,HD Graphics 520,Windows 10,2.0,2640.05
Toshiba,Tecra X40-D-10G,Notebook,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.25,6093.950000000001
Lenovo,Flex 5,2 in 1 Convertible,14.0,Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.7,3966.03
Lenovo,Thinkpad P51s,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7600U,2.8,16,SSD,1024,Nvidia,Quadro M520M,Windows 10,2.5,13097.03
Acer,Chromebook 14,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3060,1.6,2,Flash,32,Intel,HD Graphics 400,Chrome OS,1.68,1310.1000000000001
Samsung,Notebook 9,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 7500U,2.7,16,SSD,256,Intel,HD Graphics 620,Windows 10,0.81,6546.530000000001
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0,8,SSD,256,Intel,HD Graphics 520,Windows 10,1.86,2139.83
Dell,Latitude 5480,Notebook,14.0,1366x768,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.6,4473.0387
HP,Zbook 17,Workstation,17.3,IPS Panel Full HD 1920x1080,Intel,Xeon E3-1535M v5,2.9,16,SSD,256,Nvidia,Quadro M2000M,Windows 7,3.0,17424.33
Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Touchscreen 1366x768,Intel,Celeron Dual Core N3060,1.6,4,SSD,128,Intel,HD Graphics 400,Windows 10,1.4,1885.75
HP,EliteBook 850,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 6300U,2.4,8,SSD,256,Intel,HD Graphics 520,Windows 10,1.84,7543.0
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,15.6,1366x768,Intel,Core i5 6300HQ,2.3,4,HDD,1024,Nvidia,GeForce GTX 950M,No OS,2.45,2298.63
Lenovo,Thinkpad T460,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i5 6200U,2.3,4,SSD,180,Intel,HD Graphics 520,Windows 10,1.7,4351.12
Asus,Pro P2540UA-XO0192R,Notebook,15.6,1366x768,Intel,Core i7 7500U,2.7,4,SSD,256,Intel,HD Graphics 620,Windows 10,2.37,3374.103
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel,Core i5 6260U,1.8,8,SSD,256,Intel,HD Graphics 540,Windows 10,1.3,4760.030000000001
HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,2.2,4363.030000000001
HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,Intel,Core i7 6700HQ,2.6,8,SSD,256,Nvidia,Quadro M1000M,Windows 7,2.59,6197.17
Dell,Alienware 17,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7700HQ,2.8,16,SSD+HDD,1280,Nvidia,GeForce GTX 1070,Windows 10,4.42,11389.8903
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,SSD,256,Intel,HD Graphics 620,Windows 10,2.1,2378.03
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,SSD+HDD,1152,Nvidia,GeForce GTX 1050,Windows 10,2.5,4160.56
Dell,Latitude 7280,Ultrabook,12.5,Full HD 1920x1080,Intel,Core i7 7600U,2.8,16,SSD,256,Intel,HD Graphics 620,Windows 10,1.18,7380.2300000000005
Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,Intel,Core i5 7Y57,1.2,8,SSD,256,Intel,HD Graphics 615,Chrome OS,1.1,6189.2300000000005
Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Intel,Core i5 7200U,2.5,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.2,4482.13
Dell,Latitude 3380,Notebook,13.3,1366x768,Intel,Core i3 6006U,2.0,4,HDD,500,Intel,HD Graphics 520,Windows 10,1.65,3370.53
Acer,TravelMate P238-M,Notebook,13.3,1366x768,Intel,Core i5 6200U,2.3,4,SSD,128,Intel,HD Graphics 520,Windows 10,1.6,2600.35
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel,Pentium Quad Core N4200,1.1,4,HDD,1024,Nvidia,GeForce 920MX,Windows 10,2.8,1867.2498
Dell,Inspiron 7559,Gaming,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,Intel,Core i7 6700HQ,2.6,16,SSD+HDD,1152,Nvidia,GeForce GTX 960M,Windows 10,2.72,4363.030000000001
Samsung,Notebook 9,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,8,SSD,256,Intel,HD Graphics 620,Windows 10,1.31,6348.030000000001
Acer,Aspire A315-31,Notebook,15.6,1366x768,Intel,Pentium Quad Core N4200,1.1,4,HDD,1024,Intel,HD Graphics 505,Linux,2.1,1183.06
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,16,SSD,256,AMD,Radeon R7 M445,Windows 10,2.3,4689.6419000000005
Samsung,Notebook 9,2 in 1 Convertible,15.0,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,16,SSD,256,AMD,Radeon 540,Windows 10,1.71,7142.030000000001
Toshiba,Tecra A40-C-1E5,Notebook,14.0,IPS Panel 1366x768,Intel,Core i5 6200U,2.3,4,SSD,128,Intel,HD Graphics 520,Windows 10,1.75,4049.4
Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,HDD,1024,Nvidia,GeForce GTX 1050,Windows 10,2.62,4363.030000000001
HP,EliteBook 820,Ultrabook,12.5,1366x768,Intel,Core i5 6200U,2.3,4,SSD,256,Intel,HD Graphics 520,Windows 10,1.26,4938.68
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7,12,HDD,2048,Nvidia,GeForce 940MX,Windows 10,2.3,3330.8300000000004
Lenovo,Thinkpad P50,Notebook,15.6,4K Ultra HD 3840x2160,Intel,Core i7 6820HQ,2.7,16,SSD,512,Nvidia,Quadro M2000M,Windows 7,2.5,9408.9
Acer,Swift 3,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,2.4,4,SSD,128,Intel,HD Graphics 620,Windows 10,1.8,2524.92
Razer,Blade Pro,Gaming,14.0,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,SSD,512,Nvidia,GeForce GTX 1060,Windows 10,1.95,11509.03
Asus,Vivobook Max,Notebook,15.6,1920x1080,Intel,Pentium Dual Core N4200,1.1,8,SSD,128,Intel,HD Graphics 505,Windows 10,2.0,2310.143
Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,32,SSD+HDD,2048,Nvidia,GeForce GTX 1070M,Windows 10,4.42,14247.536000000002
